Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2025-08-19,0,1,0%,13
2025-08-20,1,10,10%,5.5
2025-08-21,0,17,0%,6.3
2025-08-22,0,11,0%,5.3
2025-08-23,0,0,,
2025-08-24,0,0,,
2025-08-25,0,0,,
2025-08-26,0,4,0%,6.5
2025-08-27,0,0,,
2025-08-28,0,3,0%,8.7
2025-08-29,0,1,0%,9
2025-08-30,0,0,,
2025-08-31,0,3,0%,4
2025-09-01,0,1,0%,1
2025-09-02,0,0,,
2025-09-03,0,1,0%,4
2025-09-04,0,0,,
2025-09-05,0,0,,
2025-09-06,0,2,0%,67
2025-09-07,0,1,0%,62
2025-09-08,0,3,0%,30.3
2025-09-09,0,3,0%,43
2025-09-10,0,1,0%,6
2025-09-11,0,4,0%,30.8
2025-09-12,0,3,0%,24.7
2025-09-13,0,3,0%,33.3
2025-09-14,0,6,0%,16.3
2025-09-15,0,3,0%,28.3
2025-09-16,0,9,0%,36.6
2025-09-17,0,6,0%,7.5
2025-09-18,0,5,0%,15.8
2025-09-19,0,3,0%,14.3
2025-09-20,0,1,0%,35
2025-09-21,0,3,0%,17.7
2025-09-22,0,8,0%,6.5
2025-09-23,0,6,0%,10.5
2025-09-24,0,6,0%,1.7
2025-09-25,0,7,0%,5.7
2025-09-26,0,4,0%,3.2
2025-09-27,0,3,0%,5.7
2025-09-28,0,2,0%,1
2025-09-29,0,6,0%,1.2
2025-09-30,0,1,0%,4
2025-10-01,0,7,0%,2
2025-10-02,0,5,0%,3.4
2025-10-03,0,8,0%,1.5
2025-10-04,0,4,0%,21
2025-10-05,0,1,0%,1
2025-10-06,1,3,33.33%,2
2025-10-07,0,4,0%,3.5
2025-10-08,1,5,20%,1.6
2025-10-09,1,7,14.29%,8.7
2025-10-10,0,4,0%,2.8
2025-10-11,2,9,22.22%,2.2
2025-10-12,0,1,0%,2
2025-10-13,0,4,0%,1.8
2025-10-14,1,34,2.94%,1.9
2025-10-15,1,17,5.88%,1.6
2025-10-16,0,12,0%,3.3
2025-10-17,0,6,0%,15.5
2025-10-18,0,8,0%,9.2
2025-10-19,0,8,0%,2.4
2025-10-20,0,6,0%,5.5
2025-10-21,0,6,0%,1
2025-10-22,0,8,0%,1.4
2025-10-23,0,8,0%,2.4
2025-10-24,0,2,0%,5.5
2025-10-25,0,1,0%,1
2025-10-26,0,7,0%,2.3
2025-10-27,0,1,0%,2
2025-10-28,0,11,0%,1.6
2025-10-29,0,0,,
2025-10-30,0,6,0%,2.3
2025-10-31,0,1,0%,1
2025-11-01,0,13,0%,4.5
2025-11-02,0,7,0%,2.6
2025-11-03,0,3,0%,2.7
2025-11-04,0,5,0%,1.2
2025-11-05,0,3,0%,1
2025-11-06,0,4,0%,1.5
2025-11-07,1,10,10%,4.2
2025-11-08,1,5,20%,1
2025-11-09,0,4,0%,5.2
2025-11-10,0,5,0%,3.4
2025-11-11,0,6,0%,4.2
2025-11-12,0,4,0%,1.2
2025-11-13,0,9,0%,4.3
2025-11-14,0,7,0%,2.4
2025-11-15,0,10,0%,3.5
2025-11-16,0,8,0%,4.4
2025-11-17,0,6,0%,2.5
2025-11-18,1,8,12.5%,7.6
2025-11-19,1,7,14.29%,2.3
2025-11-20,0,6,0%,1.2
2025-11-21,1,5,20%,3
2025-11-22,0,2,0%,2.5
2025-11-23,1,7,14.29%,2.6
2025-11-24,0,14,0%,2.6
2025-11-25,0,5,0%,1.6
2025-11-26,1,6,16.67%,2.3
2025-11-27,2,11,18.18%,2.7
2025-11-28,0,4,0%,2.8
2025-11-29,1,11,9.09%,2
2025-11-30,1,8,12.5%,3.8
2025-12-01,0,6,0%,2.3
2025-12-02,0,2,0%,1
2025-12-03,0,3,0%,2.7
2025-12-04,0,18,0%,7.6
2025-12-05,1,15,6.67%,3.1
2025-12-06,0,8,0%,5.5
2025-12-07,1,12,8.33%,3.2
2025-12-08,0,2,0%,1
2025-12-09,0,3,0%,1
2025-12-10,1,9,11.11%,2.9
2025-12-11,0,3,0%,1
2025-12-12,1,6,16.67%,1
2025-12-13,0,10,0%,2
2025-12-14,0,6,0%,1.3
2025-12-15,0,5,0%,1
2025-12-16,0,5,0%,1.6
2025-12-17,1,3,33.33%,1
2025-12-18,0,2,0%,1
2025-12-19,0,3,0%,1
2025-12-20,1,3,33.33%,1
2025-12-21,1,8,12.5%,2.4
2025-12-22,0,6,0%,1.7
2025-12-23,0,3,0%,1.7
2025-12-24,0,2,0%,1
2025-12-25,1,12,8.33%,2.8
2025-12-26,1,7,14.29%,1.1
2025-12-27,1,4,25%,1
2025-12-28,0,8,0%,1.9
2025-12-29,0,3,0%,1
2025-12-30,1,4,25%,1
2025-12-31,0,4,0%,2.5
2026-01-01,1,8,12.5%,1.5
2026-01-02,0,2,0%,1
2026-01-03,0,3,0%,1
2026-01-04,0,3,0%,2.3
2026-01-05,1,7,14.29%,19.4
2026-01-06,0,4,0%,4.8
2026-01-07,0,4,0%,46.8
2026-01-08,0,5,0%,37.4
2026-01-09,2,6,33.33%,33.3
2026-01-10,0,7,0%,44.6
2026-01-11,0,4,0%,49.2
2026-01-12,1,8,12.5%,23.8
2026-01-13,1,8,12.5%,15.1
2026-01-14,0,6,0%,34.8
2026-01-15,2,12,16.67%,21.4
2026-01-16,0,3,0%,4.7
2026-01-17,0,9,0%,4.8
2026-01-18,0,72,0%,47.9
2026-01-19,0,11,0%,19
2026-01-20,0,11,0%,25.5
2026-01-21,0,11,0%,17.4
2026-01-22,1,8,12.5%,17.2
2026-01-23,0,17,0%,17.3
2026-01-24,1,15,6.67%,17.4
2026-01-25,0,12,0%,13.1
2026-01-26,0,14,0%,18
2026-01-27,0,17,0%,22.5
2026-01-28,0,9,0%,52.8
2026-01-29,0,15,0%,20
2026-01-30,0,16,0%,61
2026-01-31,1,13,7.69%,41.8
2026-02-01,0,17,0%,46.5
2026-02-02,1,18,5.56%,23.1
2026-02-03,2,11,18.18%,10.7
2026-02-04,1,19,5.26%,35.1
2026-02-05,0,27,0%,35.3
2026-02-06,0,21,0%,27.7
2026-02-07,1,22,4.55%,12.3
2026-02-08,1,24,4.17%,29.7
2026-02-09,0,17,0%,30
2026-02-10,0,11,0%,32
2026-02-11,1,17,5.88%,26.8
2026-02-12,0,19,0%,15.3
2026-02-13,0,17,0%,29.8
2026-02-14,1,18,5.56%,22.8
2026-02-15,0,21,0%,20.9
2026-02-16,0,19,0%,34.9
2026-02-17,0,26,0%,23.8
2026-02-18,2,19,10.53%,21.5
2026-02-19,0,19,0%,24
2026-02-20,0,33,0%,26.6
2026-02-21,0,25,0%,23.6
2026-02-22,1,31,3.23%,22.2
2026-02-23,1,28,3.57%,23.6
2026-02-24,2,31,6.45%,27.4
2026-02-25,0,25,0%,20.9
2026-02-26,0,16,0%,12.4
2026-02-27,4,40,10%,21.9
2026-02-28,3,38,7.89%,16.1
2026-03-01,1,54,1.85%,21.6
2026-03-02,0,56,0%,18.9
2026-03-03,1,52,1.92%,15.4
2026-03-04,0,37,0%,16.6
2026-03-05,0,39,0%,13.2
2026-03-06,0,39,0%,15.7
2026-03-07,1,40,2.5%,14.8
2026-03-08,0,35,0%,14.5
2026-03-09,1,48,2.08%,12.4
2026-03-10,0,56,0%,11.3
2026-03-11,0,44,0%,13.4
2026-03-12,1,59,1.69%,16.9
2026-03-13,0,38,0%,15.8
2026-03-14,1,42,2.38%,10.3
2026-03-15,1,54,1.85%,18.1
2026-03-16,1,65,1.54%,15.5
2026-03-17,0,51,0%,13.7
2026-03-18,1,53,1.89%,10.8
2026-03-19,0,34,0%,13.4
2026-03-20,0,39,0%,17.8
2026-03-21,0,26,0%,21
2026-03-22,0,43,0%,15
2026-03-23,0,41,0%,15.6
2026-03-24,0,37,0%,15.5
2026-03-25,1,46,2.17%,20.7
2026-03-26,0,48,0%,12.7
2026-03-27,0,82,0%,7.5
2026-03-28,1,51,1.96%,12.1
2026-03-29,0,48,0%,15.3
2026-03-30,1,43,2.33%,18.6
