# ----------------------------------------
# Sayfalar ve ekranlar: Sayfa yolu ve ekran sınıfı
# Hesap: Google Ads Hesabı
# Mülk: https://www.webcraft.tr/
# ----------------------------------------
# 
# Tüm Kullanıcılar
# Başlangıç tarihi: 20250714
# Bitiş tarihi: 20251011
Sayfa yolu ve ekran sınıfı,Görüntüleme Sayısı,Etkin kullanıcı sayısı,Etkin kullanıcı başına görüntüleme sayısı,Etkin kullanıcı başına ortalama etkileşim süresi,Etkinlik sayısı,Önemli faaliyetler,Toplam gelir
/,52,18,2.888888888888889,21.333333333333332,141,0,0
/fethiye-web-tasarim,15,2,7.5,114.5,38,0,0
/mugla-seo,11,2,5.5,48,25,0,0
/en-iyi-web-tasarim-ajansi,9,2,4.5,45.5,21,0,0
/e-ticaret-web-tasarim,6,2,3,24,14,0,0
/kurumsal-web-sitesi,6,2,3,24,13,0,0
/cerez-politikasi,4,1,4,16,6,0,0
/islerimiz,3,1,3,6,6,0,0
/blog/online-magaza-kurulumu,2,1,2,0,2,0,0
/iletisim,2,2,1,0.5,4,0,0
/blog,1,1,1,3,3,0,0
/gizlilik-politikasi,1,1,1,1,2,0,0
/hizmetler,1,1,1,2,3,0,0
/kullanim-sartlari,1,1,1,4,2,0,0
